latitude,longitude,locality,region,country
48.53,9.05,Tübingen,Baden-Württemberg,Germany
48.13,7.85,Emmendingen,Baden-Württemberg,Germany
48.77,9.18,Stuttgart,Baden-Württemberg,Germany
51,9,Haina (Kloster),Hesse,Germany
52.03,8.53,Bielefeld,North Rhine-Westphalia,Germany
-37.82,144.97,Melbourne,Victoria,Australia
49.48,8.44,Ludwigshafen am Rhein,Rhineland-Palatinate,Germany
49.49,8.46,Mannheim,Baden-Württemberg,Germany
52.52,13.4,Berlin,Berlin,Germany
48.68,10.15,Heidenheim an der Brenz,Baden-Württemberg,Germany
50.83,12.92,Chemnitz,Saxony,Germany
50.98,12.45,Altenburg,Thuringia,Germany
50.93,11.58,Jena,Thuringia,Germany
51.42,9.68,Hann. Münden,Lower Saxony,Germany
50.32,10.92,Drossenhausen,Bavaria,Germany
50.08,8.25,Wiesbaden,Hesse,Germany
50.07,8.47,Kriftel,Hesse,Germany
49,8.39,Karlsruhe,Baden-Württemberg,Germany
48.83,2.25,Boulogne-Billancourt,Ile-de-France,France
50.12,8.68,Frankfurt,Hesse,Germany
48.97,9.13,Bietigheim-Bissingen,Baden-Württemberg,Germany
49.36,8.26,Haßloch,Rhineland-Palatinate,Germany
48.82,9.38,Weinstadt,Baden-Württemberg,Germany
48.93,9.25,Ludwigsburg,Baden-Württemberg,Germany
48.6,9.22,Schlaitdorf,Baden-Württemberg,Germany
48,7.85,Freiburg im Breisgau,Baden-Württemberg,Germany
51.62,8.05,Stocklarn,North Rhine-Westphalia,Germany
48.67,9.22,Filderstadt,Baden-Württemberg,Germany
-10,-55,Guarantã do Norte,Mato Grosso,Brazil
48.88,9.07,Schwieberdingen,Baden-Württemberg,Germany
48.73,8.82,Althengstett,Baden-Württemberg,Germany
48.7,8.83,Gechingen,Baden-Württemberg,Germany
54,-2,Embsay,England,United Kingdom
54.1,13.38,Greifswald,Mecklenburg-Vorpommern,Germany
50.82,7.17,Troisdorf,North Rhine-Westphalia,Germany
37.57,127,Seoul,Seoul,South Korea
46.52,11.37,Ritten - Renon,Trentino – Alto Adige/Südtirol,Italy
53.22,6.55,Groningen,Groningen,Netherlands
48.62,9.23,Aichtal,Baden-Württemberg,Germany
48.83,10.1,Aalen,Baden-Württemberg,Germany
48.63,9.02,Holzgerlingen,Baden-Württemberg,Germany
47.92,7.75,Ehrenkirchen,Baden-Württemberg,Germany
53.17,8.2,Oldenburg,Lower Saxony,Germany
51.38,7.77,Hemer,North Rhine-Westphalia,Germany
53.52,8.13,Wilhelmshaven,Lower Saxony,Germany
1.37,103.8,Singapore,Singapore,Singapore
40.77,-73.99,New York,New York,United States
43.17,2.88,Bizanet,Occitania,France
48.75,8.25,Baden-Baden,Baden-Württemberg,Germany
48.65,9.07,Schönaich,Baden-Württemberg,Germany
49.07,9.29,Happenbach,Baden-Württemberg,Germany
54.33,10.13,Kiel,Schleswig-Holstein,Germany
49.14,9.22,Heilbronn,Baden-Württemberg,Germany
49.16,8.98,Stebbach,Baden-Württemberg,Germany
48.62,9.1,Dettenhausen,Baden-Württemberg,Germany
48.48,9.22,Reutlingen,Baden-Württemberg,Germany
48.28,8.85,Balingen,Baden-Württemberg,Germany
48.87,9.18,Kornwestheim,Baden-Württemberg,Germany
49.47,11.2,Schwaig bei Nürnberg,Bavaria,Germany
49.45,8.67,Dossenheim,Baden-Württemberg,Germany
48.72,8.73,Calw,Baden-Württemberg,Germany
37.42,-122.06,NA,California,United States
49.58,9.37,Walldürn,Baden-Württemberg,Germany
51.47,7.77,Fröndenberg/Ruhr,North Rhine-Westphalia,Germany
59.43,24.73,Tallinn,Harju County,Estonia
48.97,9.28,Steinheim an der Murr,Baden-Württemberg,Germany
51.83,7.3,Dülmen,North Rhine-Westphalia,Germany
52.22,6.9,Enschede,Overijssel,Netherlands
52,20,Polesie,Łódź Voivodeship,Poland
51.33,6.57,Krefeld,North Rhine-Westphalia,Germany
53.55,10,Hamburg,Hamburg,Germany
49,9.77,Gaildorf,Baden-Württemberg,Germany
48.8,9.02,Leonberg,Baden-Württemberg,Germany
51.3,12.33,Leipzig,Saxony,Germany
50.6,12.17,Scholas,Saxony,Germany
50.92,13.37,Freiberg,Saxony,Germany
50.9,12.37,Schmölln,Thuringia,Germany
50.98,11.03,Erfurt,Thuringia,Germany
51.8,11.73,Bernburg,Saxony-Anhalt,Germany
50.73,12.5,Zwickau-Ost,Saxony,Germany
50.63,7.02,Meckenheim,North Rhine-Westphalia,Germany
51.05,13.75,Dresden,Saxony,Germany
50.55,12.78,Schwarzenberg/Erzgebirge,Saxony,Germany
50.53,12.53,Lichtenau,Saxony,Germany
52.72,8.28,Vechta,Lower Saxony,Germany
48.3,11.93,Erding,Bavaria,Germany
50.82,10.78,Ohrdruf,Thuringia,Germany
50.97,11.9,Eisenberg,Thuringia,Germany
51.07,13.18,Seifersdorf,Saxony,Germany
50.9,14.83,Zittau,Saxony,Germany
51.62,12.32,Bitterfeld,Saxony-Anhalt,Germany
49.11,9.73,Schwäbisch Hall,Baden-Württemberg,Germany
50.73,12.38,"Werdau, Stadt",Saxony,Germany
51.52,14.02,Senftenberg - Zły Komorow,Brandenburg,Germany
51.63,13.72,Finsterwalde,Brandenburg,Germany
52.17,11.67,Magdeburg,Saxony-Anhalt,Germany
50.85,14.7,Jonsdorf,Saxony,Germany
49.06,9.24,Schozach,Baden-Württemberg,Germany
51.17,15,Görlitz,Saxony,Germany
50.77,10.48,Hohleborn,Thuringia,Germany
50.87,12.08,Gera,Thuringia,Germany
51.73,12.22,Thurland,Saxony-Anhalt,Germany
47.68,11.2,Murnau am Staffelsee,Bavaria,Germany
49.47,10.97,Fürth,Bavaria,Germany
51.48,7.22,Bochum,North Rhine-Westphalia,Germany
21.03,105.85,Hà Nội,Hà Nội,Vietnam
50.68,12.12,Daßlitz,Thuringia,Germany
51.77,14.33,Cottbus - Chóśebuz,Brandenburg,Germany
51.22,6.77,Dusseldorf,North Rhine-Westphalia,Germany
49.38,8.3,Böhl-Iggelheim,Rhineland-Palatinate,Germany
51.75,11.47,Aschersleben,Saxony-Anhalt,Germany
49.48,9.64,Boxberg-Wölchingen,Baden-Württemberg,Germany
50.63,8.12,Rehe,Rhineland-Palatinate,Germany
50.55,10.42,Kernstadt Meiningen,Thuringia,Germany
51.37,8.4,Bestwig,North Rhine-Westphalia,Germany
61.8,29.4,Punkaharju,South Savo,Finland
48.15,11.58,Munich,Bavaria,Germany
51.08,13.53,Röhrsdorf,Saxony,Germany
51.09,20.8,Wołów,Holy Cross Voivodeship,Poland
47,8,Romoos,Lucerne,Switzerland
49.1,8.39,Eggenstein-Leopoldshafen,Baden-Württemberg,Germany
48.37,10.88,Augsburg,Bavaria,Germany
48.7,9.02,Sindelfingen,Baden-Württemberg,Germany
50.73,7.1,Bonn,North Rhine-Westphalia,Germany
50.58,8.65,Gießen,Hesse,Germany
49.93,7.48,Ravengiersburg,Rhineland-Palatinate,Germany
51.63,13.6,Doberlug-Kirchhain,Brandenburg,Germany
47.3,8.55,Rüschlikon,Zurich,Switzerland
50.88,4.7,Leuven,Flemish Brabant,Belgium
47.33,13.33,Wagrain,Salzburg,Austria
47.6,9.55,Bierkeller-Waldeck,Baden-Württemberg,Germany
47,20,Kocsér,Pest,Hungary
50.83,4.33,Saint-Gilles - Sint-Gillis,Brussels-Capital,Belgium
48.72,9.27,Ostfildern,Baden-Württemberg,Germany
46.67,15.47,Schloßberg,Styria,Austria
47.72,10.32,Kempten (Allgäu),Bavaria,Germany
46.25,20.17,Szeged,Csongrád-Csanád,Hungary
48.08,11.68,Munich,Bavaria,Germany
51.4,7.48,Hagen,North Rhine-Westphalia,Germany
51.83,12.25,Dessau,Saxony-Anhalt,Germany
57.47,-4.23,Inverness,Scotland,United Kingdom
53.68,-2.33,Borough of Rossendale,England,United Kingdom
52.22,10.65,Neuerkerode,Lower Saxony,Germany
51.5,12,Halle (Saale),Saxony-Anhalt,Germany
51.53,12.35,Delitzsch,Saxony,Germany
13,105,Prasat Balangk,Kampong Thom,Cambodia
52.05,10,Bad Salzdetfurth,Lower Saxony,Germany
50.93,6.95,Cologne,North Rhine-Westphalia,Germany
51.82,8.15,Oelde,North Rhine-Westphalia,Germany
49.15,10.08,Crailsheim,Baden-Württemberg,Germany
45.5,-73.58,Montreal,Quebec,Canada
50.98,10.32,Eisenach,Thuringia,Germany
36.73,-5.17,Ronda,Andalusia,Spain
33.81,-117.8,NA,California,United States
50.32,8.5,Neu-Anspach,Hesse,Germany
50,8.27,Mainz,Rhineland-Palatinate,Germany
48.2,16.37,Vienna,Vienna,Austria
48.05,7.87,Gundelfingen,Baden-Württemberg,Germany
52.42,12.55,Brandenburg an der Havel,Brandenburg,Germany
53.08,8.8,Bremen,Bremen,Germany
47.87,12,Bad Aibling,Bavaria,Germany
52.5,9.47,Neustadt am Rübenberge,Lower Saxony,Germany
53.42,9.43,Kakerbeck,Lower Saxony,Germany
51.58,-2.98,Newport,Wales,United Kingdom
51.27,12.8,Grimma,Saxony,Germany
51.22,6.9,Erkrath,North Rhine-Westphalia,Germany
51.9,8.38,Gütersloh,North Rhine-Westphalia,Germany
52.27,8.05,Osnabrück,Lower Saxony,Germany
48.4,11.47,Asbach,Bavaria,Germany
48.87,2.33,Paris,Paris,France
49.42,8.7,Heidelberg,Baden-Württemberg,Germany
52.37,9.72,Hanover,Lower Saxony,Germany
48.4,13.02,Anzenkirchen,Bavaria,Germany
49.21,8.11,Landau in der Pfalz,Rhineland-Palatinate,Germany
47.72,7.32,Brunstatt-Didenheim,Grand Est,France
52.65,9.83,Wieckenberg,Lower Saxony,Germany
49.19,9.23,Neckarsulm,Baden-Württemberg,Germany
47.65,9.48,Friedrichshafen,Baden-Württemberg,Germany
50.3,8.57,Wehrheim,Hesse,Germany
48.7,8.68,Zavelstein,Baden-Württemberg,Germany
51.55,8.57,Büren,North Rhine-Westphalia,Germany
50.82,12.53,Glauchau,Saxony,Germany
53.83,10.02,Winsen,Schleswig-Holstein,Germany
51.97,7.63,Münster,North Rhine-Westphalia,Germany
54.1,11.9,Bad Doberan,Mecklenburg-Vorpommern,Germany
47.47,9.4,Wittenbach,St. Gallen,Switzerland
60.39,5.32,Bergen,Vestland,Norway
48.25,11.65,Garching bei München,Bavaria,Germany
-1,-1,NA,NA,NA
51.53,9.93,Göttingen,Lower Saxony,Germany
52.87,9.6,Walsrode,Lower Saxony,Germany
50.75,8.22,Haiger,Hesse,Germany
47.75,11.38,Penzberg,Bavaria,Germany
51.58,-3.22,Caerphilly,Wales,United Kingdom
48.1,8.7,Aldingen,Baden-Württemberg,Germany
53.68,10.47,Wentorf (Amt Sandesneben),Schleswig-Holstein,Germany
50.77,6.11,Aachen,North Rhine-Westphalia,Germany
37.42,-122.17,NA,California,United States
50.08,8.45,Hofheim am Taunus,Hesse,Germany
48.52,9.15,Wannweil,Baden-Württemberg,Germany
51.5,-0.13,City of Westminster,England,United Kingdom
51.83,5.87,Nijmegen,Gelderland,Netherlands
30.37,-97.64,Austin,Texas,United States
48.78,8.65,Oberlengenhardt,Baden-Württemberg,Germany
50.98,7.13,Bergisch Gladbach,North Rhine-Westphalia,Germany
48.97,9.2,Ingersheim,Baden-Württemberg,Germany
47.6,11.07,Oberammergau,Bavaria,Germany
53.55,-113.5,Edmonton,Alberta,Canada
48.77,8.33,Gernsbach,Baden-Württemberg,Germany
44.33,-76.17,NA,Ontario,Canada
49.3,8.7,Wiesloch,Baden-Württemberg,Germany
48.8,9.78,Schwäbisch Gmünd,Baden-Württemberg,Germany
53.97,-1.08,York,England,United Kingdom
54.28,10.4,Wittenberger Passau,Schleswig-Holstein,Germany
51.33,7.05,Velbert-Mitte,North Rhine-Westphalia,Germany
56.33,-2.78,St Andrews,Scotland,United Kingdom
49.58,10.83,Münchaurach,Bavaria,Germany
48.27,10.83,Bobingen,Bavaria,Germany
49.87,10.87,Bamberg,Bavaria,Germany
49.95,11.58,Hammerstatt / Sankt Georgen,Bavaria,Germany
42.85,-71.52,Merrimack,New Hampshire,United States
53.18,10.82,Oldendorf an der Göhrde,Lower Saxony,Germany
43.1,-79.05,City of Niagara Falls,New York,United States
49.79,9.94,Würzburg,Bavaria,Germany
-27,133,Anangu Pitjantjatjara Yankunytjatjara,South Australia,Australia
53.63,10.68,Mölln,Schleswig-Holstein,Germany
48.28,11.57,Unterschleißheim,Bavaria,Germany
40.53,-3.63,Alcobendas,Community of Madrid,Spain
52.87,12.68,Küdow-Lüchfeld,Brandenburg,Germany
52.68,11.92,Rindtorf,Saxony-Anhalt,Germany
62,15,Ängersjö distrikt,Jämtland County,Sweden
51.32,-0.53,Woking,England,United Kingdom
50.1,11.45,Kulmbach,Bavaria,Germany
51.45,6.65,Moers,North Rhine-Westphalia,Germany
51.27,7.18,Wuppertal,North Rhine-Westphalia,Germany
55.4,10.38,Odense,Odense,Denmark
54.08,12.13,Rostock,Mecklenburg-Vorpommern,Germany
52.5,5.75,Dronten,Flevoland,Netherlands
48.6,8.12,Waldulm,Baden-Württemberg,Germany
47.37,8.55,Zurich,Zurich,Switzerland
49.24,11.09,Roth,Bavaria,Germany
50.85,10,Philippsthal,Hesse,Germany
51.57,8.33,Anröchte,North Rhine-Westphalia,Germany
-34.59,-58.67,William C. Morris,Buenos Aires,Argentina
49.61,6.13,Luxembourg,Canton Luxembourg,Luxembourg
52.25,13.65,Bestensee,Brandenburg,Germany
50.68,8.32,Herborn,Hesse,Germany
53.87,10.7,Lübeck,Schleswig-Holstein,Germany
49.4,6.7,Beckingen,Saarland,Germany
53.05,9.02,Oyten,Lower Saxony,Germany
52.62,10.08,Celle,Lower Saxony,Germany
49.21,8.99,Bockschaft,Baden-Württemberg,Germany
49.51,8.6,Heddesheim,Baden-Württemberg,Germany
48.6,8.87,Herrenberg,Baden-Württemberg,Germany
59.92,10.75,Oslo,Oslo,Norway
48.45,9.05,Dußlingen,Baden-Württemberg,Germany
49.59,9.97,Sonderhofen,Bavaria,Germany
53.42,7.98,Zetel,Lower Saxony,Germany
51.07,5.98,Maria Hoop,Limburg,Netherlands
52.3,9.45,Barsinghausen,Lower Saxony,Germany
52.4,13.07,Potsdam,Brandenburg,Germany
50.65,12.2,Greiz,Thuringia,Germany
51.12,7.02,Leichlingen,North Rhine-Westphalia,Germany
52.08,8.77,Bad Salzuflen,North Rhine-Westphalia,Germany
51.2,7,Haan,North Rhine-Westphalia,Germany
48.83,9.3,Waiblingen,Baden-Württemberg,Germany
51.28,7.28,Schwelm,North Rhine-Westphalia,Germany
54.12,10.22,Stolpe,Schleswig-Holstein,Germany
33.61,-101.82,Lubbock,Texas,United States
59.85,17.63,Uppsala,Uppsala County,Sweden
54.18,10.02,Bordesholm,Schleswig-Holstein,Germany
52.37,13.58,Schönefeld,Brandenburg,Germany
54.32,9.78,Ostenfeld,Schleswig-Holstein,Germany
52.22,7.18,Ochtrup,North Rhine-Westphalia,Germany
54.08,9.08,Meldorf,Schleswig-Holstein,Germany
50.9,6.18,Baesweiler,North Rhine-Westphalia,Germany
47.5,11.1,Garmisch-Partenkirchen,Bavaria,Germany
49.88,-97.17,Winnipeg,Manitoba,Canada
51.77,6.4,Rees,North Rhine-Westphalia,Germany
49.45,11.07,Nuremberg,Bavaria,Germany
54.23,9.1,Borgholz,Schleswig-Holstein,Germany
47.5,19.08,Budapest,Budapest,Hungary
50.32,11.92,Hof,Bavaria,Germany
52.58,13.58,Ahrensfelde,Brandenburg,Germany
49.5,7.7,Katzweiler,Rhineland-Palatinate,Germany
51.12,12.45,Borna,Saxony,Germany
50.82,8.77,Campusviertel,Hesse,Germany
54.25,10.07,Kleinflintbek,Schleswig-Holstein,Germany
53.98,9.12,Sankt Michaelisdonn,Schleswig-Holstein,Germany
52.88,8.17,Halen,Lower Saxony,Germany
51.68,12.3,Roßdorf,Saxony-Anhalt,Germany
59,26,Metsla küla,Järva County,Estonia
51.58,13.25,Falkenberg/Elster,Brandenburg,Germany
49.87,7.98,Sprendlingen,Rhineland-Palatinate,Germany
48.35,12.33,Münster,Bavaria,Germany
53.3,7.43,Neermoor,Lower Saxony,Germany
53.57,10.17,Barsbüttel,Schleswig-Holstein,Germany
50.15,8.15,Taunusstein,Hesse,Germany
65,-18,NA,Northeastern Region,Iceland
50.23,8.27,Idstein,Hesse,Germany
50.17,8.57,Steinbach (Taunus),Hesse,Germany
36,138,Tatsuno,Kamiina District,Japan
53.63,11.38,Schwerin,Mecklenburg-Vorpommern,Germany
48.77,8.38,Loffenau,Baden-Württemberg,Germany
50.35,7.6,Koblenz,Rhineland-Palatinate,Germany
47.8,9.63,Weingarten,Baden-Württemberg,Germany
47.57,7.6,Basel,Basel-City,Switzerland
50.9,11.87,Bad Klosterlausnitz,Thuringia,Germany
51,13.37,Bieberstein,Saxony,Germany
51.17,12.43,Kahnsdorf,Saxony,Germany
48.18,11.25,Fürstenfeldbruck,Bavaria,Germany
46.92,7.47,Kehrsatz,Bern,Switzerland
50.85,12.95,Chemnitz,Saxony,Germany
51.28,12.95,Wermsdorf,Saxony,Germany
39.27,-0.47,Alginet,Valencian Community,Spain
-29,24,Siyancuma Local Municipality,Northern Cape,South Africa
51.12,13.12,Döbeln,Saxony,Germany
37.98,23.73,Athens,Attica,Greece
51.25,14.4,Luppa - Łupoj,Saxony,Germany
54.33,10.08,Kronshagen,Schleswig-Holstein,Germany
51.15,12.63,Bad Lausick,Saxony,Germany
51.9,10.43,Goslar,Lower Saxony,Germany
51.05,12.72,Geithain,Saxony,Germany
48.05,11.63,Taufkirchen,Bavaria,Germany
56.08,-3.47,Dunfermline,Scotland,United Kingdom
51.65,9.83,Hardegsen,Lower Saxony,Germany
50.58,9.53,Uffhausen,Hesse,Germany
50.82,12.38,Crimmitschau,Saxony,Germany
53.75,9.65,Elmshorn,Schleswig-Holstein,Germany
51.17,12.57,Kitzscher,Saxony,Germany
52.2,11.63,Barleben,Saxony-Anhalt,Germany
50.65,11.37,Saalfeld/Saale,Thuringia,Germany
52.67,13.58,Bernau,Brandenburg,Germany
46.2,6.17,Geneva,Geneva,Switzerland
49.13,8.53,Karlsdorf-Neuthard,Baden-Württemberg,Germany
50.95,10.03,Obersuhl,Hesse,Germany
47.67,10.3,Rauns,Bavaria,Germany
50.92,11.87,Bad Klosterlausnitz,Thuringia,Germany
51.3,12.23,Markranstädt,Saxony,Germany
50.1,8.77,Offenbach am Main,Hesse,Germany
51.15,13.48,Meissen,Saxony,Germany
49.17,8.33,Hördt,Rhineland-Palatinate,Germany
49.99,8.44,Rüsselsheim am Main,Hesse,Germany
-25.97,32.59,Maputo,Maputo,Mozambique
52.27,10.53,Brunswick,Lower Saxony,Germany
40.4,-3.68,Madrid,Community of Madrid,Spain
51.45,7.02,Essen,North Rhine-Westphalia,Germany
50.25,10.97,Coburg,Bavaria,Germany
50,8.13,Ingelheim am Rhein,Rhineland-Palatinate,Germany
50.43,9.6,Schweben,Hesse,Germany
42.87,74.6,Bishkek City,Bishkek City,Kyrgyzstan
51.05,9.28,Borken,Hesse,Germany
51.32,9.5,Kassel,Hesse,Germany
47.67,9.18,Constance,Baden-Württemberg,Germany
50.98,9.72,Rotenburg an der Fulda,Hesse,Germany
50.6,8.95,Grünberg,Hesse,Germany
50.85,5.68,Maastricht,Limburg,Netherlands
49.35,9.09,Obrigheim,Baden-Württemberg,Germany
50.55,9.67,Fulda,Hesse,Germany
49.15,7.03,Grosbliederstroff,Grand Est,France
53.7,10.02,Norderstedt,Schleswig-Holstein,Germany
51.47,6.85,Oberhausen,North Rhine-Westphalia,Germany
52.28,7.45,Rheine,North Rhine-Westphalia,Germany
48.5,11.62,Dietersdorf,Bavaria,Germany
48.77,10.67,Harburg (Schwaben),Bavaria,Germany
52.58,13.88,Strausberg,Brandenburg,Germany
53,11.75,Wittenberge,Brandenburg,Germany
50.55,9.35,Herbstein,Hesse,Germany
48.53,12.15,Landshut,Bavaria,Germany
54.47,9.83,Eckernförde,Schleswig-Holstein,Germany
51.37,12.73,Wurzen,Saxony,Germany
40.29,-76.59,North Londonderry Township,Pennsylvania,United States
52.55,5.92,Kampen,Overijssel,Netherlands
51.28,12.4,Markkleeberg,Saxony,Germany
51.4,7.43,Herdecke,North Rhine-Westphalia,Germany
53.9,27.57,Minsk,Minsk,Belarus
45.42,-75.7,Ottawa,Ontario,Canada
49.73,8.62,Auerbach,Hesse,Germany
49.55,8.67,Weinheim,Baden-Württemberg,Germany
55.65,12.52,Copenhagen,Capital Region of Denmark,Denmark
50.43,8.37,Weilmünster,Hesse,Germany
50.37,8.75,Bad Nauheim,Hesse,Germany
47.2,7.43,Bettlach,Solothurn,Switzerland
52.97,10.57,Uelzen,Lower Saxony,Germany
50.83,6.9,Brühl,North Rhine-Westphalia,Germany
53.77,9.6,Kiebitzreihe,Schleswig-Holstein,Germany
47.98,8.82,Tuttlingen,Baden-Württemberg,Germany
52.03,-0.7,Milton Keynes,England,United Kingdom
27,30,NA,New Valley,Egypt
48.6,9.72,Deggingen,Baden-Württemberg,Germany
53.88,8.7,Cuxhaven,Lower Saxony,Germany
51.3,12.07,Bad Dürrenberg,Saxony-Anhalt,Germany
48.23,11.63,Garching bei München,Bavaria,Germany
48.92,11.2,Preith,Bavaria,Germany
51.3,6.85,Mitte,North Rhine-Westphalia,Germany
51.35,7.25,Sprockhövel,North Rhine-Westphalia,Germany
49.44,11.86,Gailoh,Bavaria,Germany
51.25,6.38,Viersen,North Rhine-Westphalia,Germany
50.93,6.37,Jülich,North Rhine-Westphalia,Germany
51.83,12.83,Elster (Elbe),Saxony-Anhalt,Germany
51.52,14.63,Weißwasser/Oberlausitz - Běła Woda,Saxony,Germany
54.4,10.22,Laboe,Schleswig-Holstein,Germany
49.45,7.75,Kaiserslautern,Rhineland-Palatinate,Germany
49.94,8.74,Messel,Hesse,Germany
48.4,10,Ulm,Baden-Württemberg,Germany
50.95,7.53,Wiehl,North Rhine-Westphalia,Germany
48.67,9.12,Steinenbronn,Baden-Württemberg,Germany
49.14,9.36,Willsbach,Baden-Württemberg,Germany
49.49,9.77,Bad Mergentheim,Baden-Württemberg,Germany
51.52,7.45,Dortmund,North Rhine-Westphalia,Germany
54.27,9.62,Nübbel,Schleswig-Holstein,Germany
53.44,14.59,Szczecin,West Pomeranian Voivodeship,Poland
52.85,11.15,Salzwedel,Saxony-Anhalt,Germany
53.45,9.7,Buxtehude,Lower Saxony,Germany
42.83,12.83,Campello sul Clitunno,Umbria,Italy
48.53,12.75,Malgersdorf,Bavaria,Germany
50.97,13.93,Pirna,Saxony,Germany
49.51,11.28,Lauf an der Pegnitz,Bavaria,Germany
51.87,13.97,Lübbenau/Spreewald,Brandenburg,Germany
52.28,13.62,Königs Wusterhausen,Brandenburg,Germany
53.55,8.58,Bremerhaven,Bremen,Germany
54.99,-1.62,Newcastle upon Tyne,England,United Kingdom
53.3,9.28,Zeven,Lower Saxony,Germany
48.17,7.65,Wyhl,Baden-Württemberg,Germany
53.25,10.4,Lüneburg,Lower Saxony,Germany
52.45,9.75,Langenhagen (Kernstadt),Lower Saxony,Germany
69.72,30.05,Kirkenes,Finnmark,Norway
51.32,3.13,Blankenberge,West Flanders,Belgium
45.47,11.17,Cellore,Veneto,Italy
46.53,14.3,Ferlach,Carinthia,Austria
50.68,10.9,Ilmenau,Thuringia,Germany
41.02,28.96,Istanbul,Istanbul,Turkey
52.18,13.4,Am Mellensee,Brandenburg,Germany
47.43,8.2,Birr,Aargau,Switzerland
45.53,11.35,Arzignano,Veneto,Italy
47.92,11.42,Wolfratshausen,Bavaria,Germany
52.9,10.17,Faßberg,Lower Saxony,Germany
39.11,-94.69,Kansas City,Kansas,United States
38.39,-122.75,NA,California,United States
42.33,-72.63,Northampton,Massachusetts,United States
49.4,10.87,Roßtal,Bavaria,Germany
51.22,7.62,Lüdenscheid,North Rhine-Westphalia,Germany
50,9.2,Hösbach,Bavaria,Germany
50.83,6.98,Wesseling-Mitte,North Rhine-Westphalia,Germany
51.02,6.98,Leverkusen,North Rhine-Westphalia,Germany
50.77,7.18,Sankt Augustin,North Rhine-Westphalia,Germany
52.32,7.58,Hörstel,North Rhine-Westphalia,Germany
51,6.8,Pulheim,North Rhine-Westphalia,Germany
49.98,7.52,Simmern/Hunsrück,Rhineland-Palatinate,Germany
51.2,6.68,Neuss,North Rhine-Westphalia,Germany
51.35,7.47,Hagen,North Rhine-Westphalia,Germany
51.43,7.33,Witten,North Rhine-Westphalia,Germany
51.72,8.77,Paderborn,North Rhine-Westphalia,Germany
50.87,8.03,Siegen,North Rhine-Westphalia,Germany
50.63,7.23,Bad Honnef,North Rhine-Westphalia,Germany
49.9,8.52,Büttelborn,Hesse,Germany
51.2,6.43,Mönchengladbach,North Rhine-Westphalia,Germany
50.87,6.7,Kerpen,North Rhine-Westphalia,Germany
23,-102,NA,San Luis Potosí,Mexico
48.07,8.65,Trossingen,Baden-Württemberg,Germany
52.2,8.35,Melle,Lower Saxony,Germany
50.8,6.48,Duren,North Rhine-Westphalia,Germany
50.88,10.37,Ruhla,Thuringia,Germany
48.1,11.45,Planegg,Bavaria,Germany
51.13,13.58,Coswig,Saxony,Germany
45.5,9.27,Segrate,Lombardy,Italy
48.98,9.38,Aspach,Baden-Württemberg,Germany
40.64,22.94,Thessaloniki Municipal Unit,Central Macedonia,Greece
48.9,11.65,Berghausen,Bavaria,Germany
52.37,13.4,Waldblick,Brandenburg,Germany
47.8,13.03,Salzburg,Salzburg,Austria
48.75,9.3,Esslingen am Neckar,Baden-Württemberg,Germany
60,100,NA,Krasnoyarsk Krai,Russia
52.98,9.83,Kernstadt Soltau,Lower Saxony,Germany
49.95,8.85,Eppertshausen,Hesse,Germany
48.65,9.45,Kirchheim unter Teck,Baden-Württemberg,Germany
52.83,10.68,Bad Bodenteich,Lower Saxony,Germany
48.48,9.25,Eningen unter Achalm,Baden-Württemberg,Germany
47.78,9.62,Ravensburg,Baden-Württemberg,Germany
48.32,8.92,Steinhofen,Baden-Württemberg,Germany
48.97,9.27,Steinheim an der Murr,Baden-Württemberg,Germany
49.35,9.14,Mosbach,Baden-Württemberg,Germany
49.92,8.87,Münster (Hessen),Hesse,Germany
48.47,8.93,Rottenburg am Neckar,Baden-Württemberg,Germany
49.2,12.52,Roding,Bavaria,Germany
48.25,9.02,Albstadt,Baden-Württemberg,Germany
48.9,9.07,Markgröningen,Baden-Württemberg,Germany
48.27,9.68,Ehingen (Donau),Baden-Württemberg,Germany
49.28,8.74,Unterhof,Baden-Württemberg,Germany
48.38,9.28,Großengstingen,Baden-Württemberg,Germany
48.9,9.18,Ludwigsburg,Baden-Württemberg,Germany
48.15,8.8,Harras,Baden-Württemberg,Germany
48.53,9.35,Dettingen an der Erms,Baden-Württemberg,Germany
-33.88,151.22,Sydney,New South Wales,Australia
48.82,9.12,Stuttgart,Baden-Württemberg,Germany
48.63,9.35,Nürtingen,Baden-Württemberg,Germany
64,26,Kärsämäki,North Ostrobothnia,Finland
47.62,7.67,Lörrach (Kernstadt),Baden-Württemberg,Germany
52.3,11.42,Haldensleben,Saxony-Anhalt,Germany
50.18,9.03,Langenselbold,Hesse,Germany
52.15,9.97,Hildesheim,Lower Saxony,Germany
48.53,9.27,Neuhausen an der Erms,Baden-Württemberg,Germany
48.4,9.18,Genkingen,Baden-Württemberg,Germany
48.83,9.07,Ditzingen,Baden-Württemberg,Germany
48.6,9.37,Linsenhofen,Baden-Württemberg,Germany
52.2,9.47,Bad Münder am Deister,Lower Saxony,Germany
48.88,8.7,Pforzheim,Baden-Württemberg,Germany
47.98,9.78,Oberessendorf,Baden-Württemberg,Germany
49.99,9.19,Goldbach,Bavaria,Germany
48.9,8.82,Öschelbronn,Baden-Württemberg,Germany
48.28,8.82,Geislingen,Baden-Württemberg,Germany
